trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,min_arrival_time,max_departure_time,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1116469_b_26687_tn_1,07:20:00,07:20:00,781718,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_1,07:22:00,07:22:00,781720,2,,0,0,844.503937365361,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_1,07:31:00,07:31:00,781722,3,,0,0,8990.91062709729,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_1,07:35:00,07:35:00,781726,4,,0,0,11395.6367944752,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_1,07:38:00,07:38:00,781730,5,,0,0,12307.5342158715,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_1,07:42:00,07:42:00,794724,6,,0,0,14111.2401222,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_10,10:20:00,10:20:00,781718,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_10,10:22:00,10:22:00,781720,2,,0,0,844.503937365361,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_10,10:31:00,10:31:00,781722,3,,0,0,8990.91062709729,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_10,10:35:00,10:35:00,781726,4,,0,0,11395.6367944752,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_10,10:38:00,10:38:00,781730,5,,0,0,12307.5342158715,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_10,10:42:00,10:42:00,794724,6,,0,0,14111.2401222,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_11,10:40:00,10:40:00,781718,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_11,10:42:00,10:42:00,781720,2,,0,0,844.503937365361,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_11,10:51:00,10:51:00,781722,3,,0,0,8990.91062709729,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_11,10:55:00,10:55:00,781726,4,,0,0,11395.6367944752,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_11,10:58:00,10:58:00,781730,5,,0,0,12307.5342158715,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_11,11:02:00,11:02:00,794724,6,,0,0,14111.2401222,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_12,11:00:00,11:00:00,781718,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_12,11:02:00,11:02:00,781720,2,,0,0,844.503937365361,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_12,11:11:00,11:11:00,781722,3,,0,0,8990.91062709729,0,,,,,1,1,,,,,,,,
t_1116469_b_26687_tn_12,11:15:00,11:15:00,781726,4,,0,0,11395.6367944752,0,,,,,1,1,,,,,,,,
